Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
21,14800;1,26878;13590,06017;0,09304;0,00290;170,08836;0,29014;0,08339;0,01006;-0,00105
21,24800;1,27500;13650,70760;0,09232;0,00290;170,84740;0,29012;0,08338;0,00620;-0,00065
21,34800;1,28089;13707,23963;0,09268;0,00293;171,55494;0,29291;0,08418;0,01169;-0,00122
21,44800;1,28673;13768,74626;0,09305;0,00292;172,32473;0,29168;0,08383;0,01653;-0,00173
21,54800;1,29284;13826,25997;0,09299;0,00299;173,04456;0,29884;0,08589;0,00025;-0,00003
21,64800;1,29868;13882,38698;0,09246;0,00304;173,74702;0,30409;0,08740;0,00400;-0,00042
21,74800;1,30495;13944,29415;0,09278;0,00302;174,52183;0,30208;0,08682;0,01450;-0,00152
21,84800;1,31084;14000,16636;0,09251;0,00301;175,22111;0,30122;0,08657;0,00202;-0,00021
21,94800;1,31684;14062,01988;0,09261;0,00304;175,99524;0,30439;0,08748;0,00042;-0,00004
22,04800;1,32278;14118,41333;0,09233;0,00305;176,70104;0,30524;0,08772;0,00999;-0,00104
